Rank	Gram	Name	RankF	RefF	CandF	Recall	Precision	F1
362	72	8	190571	128	129	0.981982	0.973214	0.977578
363	73	6	178388	127	126	0.99115	1	0.995556
364	74	!	172337	16	18	1	0.911765	0.953846
365	75	7	170202	109	109	0.989583	0.979381	0.984456
366	386	ser	156656	50	45	0.625	0.702381	0.661435
367	257	isch	153746	50	60	0.64	0.543103	0.587584
368	342	at▁	150428	83	78	0.565789	0.592105	0.578648
369	337	rop	141927	13	15	0.692308	0.6	0.642857
370	76	q	139371	42	49	0.690476	0.591837	0.637363
371	77	–	138997	-1	104	0	0	0
372	78	?	138179	73	78	1	0.951754	0.975281
373	79	/	134488	12	10	0.818182	1	0.9
374	80	Ü	123560	60	39	0.416667	0.644737	0.506198
375	194	ie▁	122510	64	83	0.859375	0.670732	0.753425
376	275	icht▁	122366	59	60	0.87931	0.864407	0.871795
377	391	En	121276	69	72	0.757353	0.746377	0.751825
378	1	<unk>	117679	10	12	0.875	0.7	0.777778
379	81	'	103934	57	43	0.243434	0.25	0.246673
380	82	“	101154	-1	7	0	0	0
381	371	ön	99116	60	56	0.775862	0.833333	0.803571
382	315	omm	98399	65	56	0.584615	0.690909	0.633333
383	402	or▁	96408	54	65	0.783019	0.650794	0.710809
384	83	„	94396	-1	6	0	0	0
385	326	ber▁	88332	68	59	0.731343	0.850877	0.786595
386	349	hab	86734	90	45	0.348837	0.681818	0.461538
387	84	Q	86197	37	44	0.777778	0.666667	0.717949
388	85	Ä	84777	23	25	0.565217	0.52	0.541667
389	86	;	84427	4	31	1	0.103448	0.1875
390	87	é	71986	4	3	0.75	1	0.857143
391	205	ung	70647	53	38	0.576923	0.789474	0.666667
392	442	dur	64156	35	34	0.342857	0.352941	0.347826
393	88	%	63504	23	23	0.970588	0.944444	0.957338
394	385	etz	61328	27	32	0.703704	0.59375	0.644068
395	89	]	60811	3	4	1	0.75	0.857143
396	90	[	60600	3	4	1	0.75	0.857143
397	426	kön	60243	61	58	0.616667	0.649123	0.632479
398	376	Eu	53140	33	34	1	0.965517	0.982456
399	333	sin	52326	20	16	0.605263	0.75	0.669903
400	91	Ö	48381	20	21	0.789474	0.75	0.769231
401	24	,	45037	52	52	0.994186	0.977273	0.985657
402	92	X	41659	12	12	1	1	1
403	93	Y	39246	38	36	0.916667	0.970588	0.942857
404	469	Komm	28106	24	15	0.521739	0.857143	0.648649
405	95	&	27899	2	3	1	0.666667	0.8
406	97	á	22548	1	1	1	1	1
407	116	»	10207	1	-1	0	1	0
408	122	«	8794	1	-1	0	1	0
409	125	­	7607	1	-1	0	1	0
410	130	$	6208	6	2	0	0	0
411	133	ñ	5553	1	1	1	1	1
412	138	²	4979	1	-1	0	1	0
413	139	@	4815	1	1	1	1	1
414	140	°	4789	1	-1	0	1	0
415	150	#	3429	-1	1	0	0	0
416	168	`	2360	1	1	1	1	1
