Rank	Gram	Name	RankF	RefF	CandF	Recall	Precision	F1
36	23	w	11300	1035	935	0.483579	0.543173	0.511647
37	132	n▁	10958	768	610	0.388752	0.510768	0.441484
38	16	l	10681	611	502	0.31986	0.3907	0.351749
39	13	d	10678	717	676	0.478897	0.501467	0.489922
40	31	ä	10630	645	517	0.365971	0.451548	0.40428
41	42	F	10507	635	607	0.527831	0.561111	0.543963
42	152	an	10173	759	603	0.47084	0.608836	0.53102
43	170	ten▁	9970	753	557	0.337429	0.476363	0.395037
44	32	S	9911	1058	982	0.612367	0.660207	0.635388
45	169	es▁	9889	561	492	0.361957	0.405641	0.382556
46	26	z	9787	633	563	0.439113	0.499577	0.467397
47	136	ch	9712	577	459	0.326724	0.412222	0.364527
48	189	zu▁	9413	661	492	0.318053	0.459239	0.375824
49	212	re	9363	635	468	0.390299	0.530797	0.449833
50	215	la	9299	550	499	0.438988	0.487407	0.461932
51	191	gen▁	8795	544	353	0.278874	0.422187	0.335883
52	201	g▁	8659	654	524	0.363776	0.455787	0.404617
53	41	K	8536	668	655	0.527273	0.548411	0.537634
54	195	ver	8425	616	478	0.312337	0.404701	0.35257
55	177	te▁	8396	1160	620	0.343117	0.63955	0.446622
56	159	in	8377	494	415	0.394345	0.467154	0.427673
57	28	v	8251	574	585	0.576048	0.578508	0.577275
58	158	ein	8224	375	389	0.352584	0.343395	0.347929
59	245	le	7955	576	411	0.348081	0.491667	0.407598
60	179	ar	7800	537	492	0.446849	0.503654	0.473554
61	279	ri	7737	468	433	0.368637	0.416667	0.391183
62	38	P	7728	673	592	0.60848	0.704141	0.652824
63	171	or	7654	568	486	0.470375	0.586597	0.522096
64	200	von▁	7617	558	655	0.422365	0.402698	0.412297
65	160	ti	7389	313	301	0.359226	0.373159	0.36606
66	35	D	7304	427	415	0.515303	0.523693	0.519465
67	185	ss	7303	394	405	0.371662	0.364075	0.367829
68	9	r	7239	461	314	0.313802	0.451731	0.370341
69	37	M	7233	706	649	0.592861	0.644945	0.617807
70	184	ra	7174	416	363	0.418771	0.478758	0.44676
71	232	at	7153	550	555	0.462277	0.472544	0.467354
72	176	on	7112	625	651	0.610458	0.588364	0.599207
73	162	al	7090	464	570	0.522966	0.506844	0.514779
74	390	ig	6961	416	354	0.360231	0.448818	0.399674
75	43	W	6908	570	543	0.577279	0.60824	0.592355
76	205	für▁	6813	345	295	0.430556	0.499689	0.462553
77	314	ma	6747	397	365	0.315388	0.340461	0.327445
78	206	ist▁	6726	308	321	0.478363	0.448889	0.463157
79	51	T	6694	732	601	0.52563	0.647584	0.580269
80	52	L	6672	526	418	0.546039	0.703571	0.614875
81	156	m▁	6667	624	446	0.331529	0.458889	0.384948
82	138	ei	6634	380	355	0.29351	0.308824	0.300972
83	165	da	6619	317	240	0.239286	0.315421	0.272128
84	207	eine▁	6517	454	420	0.367038	0.399596	0.382625
85	229	sa	6462	651	344	0.322695	0.613687	0.422976
86	167	zu	6425	357	256	0.224401	0.292217	0.253858
87	34	E	6219	264	220	0.469512	0.570352	0.515043
88	431	te	6187	348	347	0.273224	0.276836	0.275018
89	30	ü	6141	416	369	0.287665	0.331264	0.307929
90	252	Be	5948	266	245	0.307639	0.326324	0.316706
91	372	kt	5913	217	252	0.494224	0.427273	0.458316
92	198	tz	5906	345	319	0.337419	0.370574	0.35322
93	399	cht	5898	268	177	0.219008	0.321803	0.260636
94	47	H	5853	452	414	0.530946	0.587914	0.55798
95	219	Ver	5808	235	179	0.281447	0.370021	0.319712
96	173	is	5804	292	280	0.355346	0.362231	0.358756
97	145	d▁	5746	548	446	0.405445	0.494354	0.445507
98	49	ß	5640	273	255	0.373444	0.40583	0.388964
99	224	das▁	5627	359	333	0.304762	0.329268	0.316541
100	263	di	5617	298	302	0.399383	0.387199	0.393196
101	157	el	5591	351	298	0.331771	0.393045	0.359818
102	222	auf▁	5557	317	261	0.242982	0.294239	0.266165
103	227	mit▁	5515	361	280	0.38806	0.5	0.436975
104	221	des▁	5508	293	265	0.314667	0.335452	0.324727
105	225	ein▁	5500	437	354	0.329571	0.4048	0.363332
106	341	gi	5486	242	289	0.519026	0.433403	0.472366
107	230	si	5474	314	242	0.344203	0.447525	0.389122
108	36	B	5470	519	458	0.567557	0.652877	0.607234
109	223	ent	5439	323	314	0.401312	0.421314	0.41107
110	180	wi	5387	251	202	0.368534	0.452118	0.40607
111	33	A	5325	387	384	0.559848	0.552553	0.556177
112	233	gen	5322	272	228	0.276892	0.342857	0.306364
113	226	sp	5288	320	226	0.227816	0.342932	0.273765
114	193	der	5247	248	166	0.27234	0.405556	0.325859
115	55	N	5239	500	448	0.568703	0.658502	0.610317
116	44	R	5172	374	275	0.540498	0.736515	0.623463
117	426	gr	5134	230	252	0.412602	0.38009	0.395679
118	48	-	5129	566	322	0.309854	0.527358	0.390353
119	231	de▁	5127	445	376	0.354491	0.410979	0.380651
120	166	ie	5063	329	307	0.311937	0.340278	0.325492
121	380	so	5040	184	201	0.409441	0.381481	0.394967
122	234	ck	5035	324	256	0.278555	0.337389	0.305162
