Experiment	n:	src_toks	src_mean_len	src_EMD	src_effective_n	src_f90p	src_f95p	src_f98p	src_f99p	src_f100p	tgt_toks	tgt_mean_len	tgt_EMD	tgt_effective_n	tgt_f90p	tgt_f95p	tgt_f98p	tgt_f99p	tgt_f100p	BLEU_dev	prec_corr_dev	recall_corr_dev	BLEU_test	prec_corr_test	recall_corr_test
runs-ende-030k/044-ende-04k04k-r1	4,000	1,116,064	37.2	0.542	3,932	35	18	6	3	1	1,255,305	41.84	0.513	3,930	45	21	8	4	1	9.9	0.122	-0.19	9.1	0.138	-0.192
runs-ende-030k/055-ende-08k08k-r1	8,000	986,651	32.89	0.603	7,804	12	6	2	1	1	1,088,618	36.29	0.557	7,832	18	9	3	2	1	10.1	0.202	-0.2	9.3	0.2	-0.182
runs-ende-030k/066-ende-16k16k-r1	16,000	907,555	30.25	0.686	15,286	5	2	1	1	1	970,659	32.36	0.614	15,494	7	4	2	1	1	8.9	0.316	-0.233	8	0.304	-0.197
runs-ende-030k/077-ende-32k32k-r1	17,554	899,862	30	0.699	16,680	4	2	1	1	1	917,970	30.6	0.661	23,304	4	2	1	1	1	7.4	0.361	-0.283	6.7	0.344	-0.26
																									
runs-ende-500k/000-ende-chars-r1	Chars	70,336,492	140.67	0.805	161	320	211	197	192	190	77,623,117	155.25	0.778	171	314	255	224	223	217	31	-0.211	-0.408	26.8	-0.141	-0.444
runs-ende-500k/011-ende-.5k.5k-r1	500	31,709,390	63.42	0.443	492	913	407	221	199	192	35,574,722	71.15	0.441	493	834	379	268	229	217	33.8	-0.089	-0.146	29.4	-0.075	-0.23
runs-ende-500k/022-ende-01k01k-r1	1,000	26,235,515	52.47	0.471	982	2056	599	304	206	111	29,271,876	58.54	0.45	984	1833	590	288	243	2	33.9	-0.114	-0.168	30	-0.087	-0.212
runs-ende-500k/033-ende-02k02k-r1	2,000	22,109,404	44.22	0.494	1,977	1339	513	218	130	1	24,810,276	49.62	0.476	1,977	1785	654	277	139	1	33.9	-0.108	-0.199	30.4	-0.115	-0.21
runs-ende-500k/044-ende-04k04k-r1	4,000	18,928,869	37.86	0.528	3,959	624	316	107	33	1	21,223,825	42.45	0.506	3,962	764	362	130	38	1	34.4	-0.014	-0.155	30.2	-0.015	-0.147
