Rank	Gram	Name	RankF	RefF	CandF	Recall	Precision	F1
387	1183	sen	23543	64	60	0.68254	0.732759	0.706758
388	653	when▁	23341	73	100	0.717391	0.531579	0.610663
389	444	fac	23275	29	24	0.482759	0.608696	0.538462
390	586	ei	23225	71	52	0.654229	0.882353	0.751357
391	356	est	23063	36	35	0.694444	0.714286	0.704225
392	629	ast	23057	44	41	0.568182	0.644737	0.604043
393	659	report▁	22999	14	15	0.833333	0.769231	0.8
394	661	!▁	22967	11	12	1	0.916667	0.956522
395	419	end	22953	56	48	0.592593	0.695652	0.64
396	662	4▁	22921	45	44	0.886364	0.906977	0.896552
397	293	w▁	22919	77	78	0.713333	0.703947	0.708609
398	498	In	22764	76	74	0.842857	0.857143	0.84994
399	241	ter	22752	43	33	0.52381	0.6875	0.594595
400	652	my▁	22721	56	50	0.79085	0.880435	0.833241
401	337	um	22719	113	121	0.886792	0.820175	0.852184
402	706	over▁	22710	72	50	0.316901	0.469388	0.378359
403	666	Member▁	22698	2	-1	0	1	0
404	667	need▁	22659	18	14	0.444444	0.571429	0.5
405	669	some▁	22604	45	30	0.602273	0.913793	0.726027
406	435	ep	22559	51	59	0.686275	0.605263	0.643228
407	502	now▁	22478	55	45	0.694444	0.844444	0.762134
408	947	ord	22340	77	60	0.605263	0.779661	0.681481
409	280	ent	22332	34	31	0.558824	0.612903	0.584615
410	933	exp	22282	52	55	0.843137	0.801887	0.821995
411	1663	art	22266	37	33	0.702703	0.787879	0.742857
412	761	ps▁	22169	39	45	0.615385	0.534884	0.572317
413	600	id	22165	66	61	0.8	0.866667	0.832
414	408	ely▁	22156	37	39	0.569444	0.538462	0.55352
415	62	5	22118	56	52	0.877358	0.94	0.9076
416	1028	des	22111	54	59	0.740741	0.684211	0.711354
417	682	well▁	21923	32	25	0.516129	0.673913	0.584561
418	721	ge	21917	51	40	0.488889	0.631579	0.551148
419	1357	stat	21892	36	51	0.638889	0.45	0.528061
420	222	ex	21835	43	51	0.785714	0.66	0.717391
421	687	first▁	21832	53	64	0.923077	0.770492	0.839911
422	562	many▁	21794	33	40	0.8125	0.666667	0.732394
423	686	them▁	21794	42	48	0.571429	0.51087	0.539455
424	249	qu	21769	62	68	0.836066	0.761194	0.796875
425	683	he▁	21589	283	301	0.845056	0.802066	0.823
426	837	mi	21474	47	49	0.826087	0.797872	0.811735
427	318	ents▁	21459	44	45	0.727273	0.745833	0.736436
428	718	trans	21409	11	14	0.727273	0.571429	0.64
429	698	between▁	21251	32	29	0.85	0.896552	0.872655
430	699	Council▁	21236	7	8	1	0.857143	0.923077
431	1015	spe	21203	30	44	0.466667	0.325581	0.383562
432	712	take▁	21166	32	28	0.3125	0.357143	0.333333
433	186	Th	21119	74	70	0.833333	0.876812	0.85452
434	704	make▁	21057	22	21	0.380952	0.380952	0.380952
435	322	ess▁	20991	27	22	0.592593	0.727273	0.653061
436	406	pres	20949	83	77	0.740506	0.793333	0.76601
437	240	res	20883	35	28	0.571429	0.722222	0.638037
438	710	EU▁	20873	27	27	1	1	1
439	1622	lu	20768	29	24	0.75	0.913043	0.823529
440	1574	lat	20754	55	49	0.675926	0.770833	0.720267
441	335	our	20745	67	67	0.75	0.729508	0.739612
442	610	mon	20735	59	46	0.745763	0.956522	0.838095
443	1418	Ro	20709	104	98	0.910526	0.966667	0.937757
444	642	tly▁	20682	33	41	0.69697	0.575	0.630137
445	713	important▁	20668	12	22	1	0.545455	0.705882
446	723	hotel▁	20634	3	5	1	0.6	0.75
447	219	os	20614	47	51	0.851064	0.784314	0.816327
448	602	sub	20593	15	18	0.666667	0.558824	0.608
449	681	um▁	20565	30	31	0.876543	0.827586	0.851361
450	383	fin	20418	39	27	0.405405	0.592593	0.481444
451	486	ob	20411	18	27	0.555556	0.365385	0.440835
